date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:18:24	5350/5350	---MCZ	200	added ('OK')	application/x-javascript	date:Fri,%2024%20Jan%202025%2004:52:48%20GMT	https://programareceitasocultas.com/wp-content/plugins/elementor/assets/js/webpack.runtime.min.js?ver=3.25.11	C:/Meus%20Sites/tentativa/programareceitasocultas.com/wp-content/plugins/elementor/assets/js/webpack.runtime.min1ffb.js	(from https://programareceitasocultas.com.br/receitas/)
22:18:24	87553/87553	---MCZ	200	added ('OK')	application/x-javascript	date:Fri,%2013%20Dec%202024%2023:25:31%20GMT	https://programareceitasocultas.com/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/Meus%20Sites/tentativa/programareceitasocultas.com/wp-includes/js/jquery/jquery.minf43b.js	(from https://programareceitasocultas.com.br/receitas/)
22:18:24	13577/13577	---MCZ	200	added ('OK')	application/x-javascript	date:Fri,%2013%20Dec%202024%2023:25:31%20GMT	https://programareceitasocultas.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/Meus%20Sites/tentativa/programareceitasocultas.com/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://programareceitasocultas.com.br/receitas/)
22:18:24	59749/59749	---MCZ	200	added ('OK')	application/x-javascript	date:Fri,%2024%20Jan%202025%2004:52:48%20GMT	https://programareceitasocultas.com/wp-content/plugins/elementor/assets/js/frontend-modules.min.js?ver=3.25.11	C:/Meus%20Sites/tentativa/programareceitasocultas.com/wp-content/plugins/elementor/assets/js/frontend-modules.min1ffb.js	(from https://programareceitasocultas.com.br/receitas/)
22:18:25	21464/21464	---MCZ	200	added ('OK')	application/x-javascript	date:Fri,%2013%20Dec%202024%2023:25:31%20GMT	https://programareceitasocultas.com/wp-includes/js/jquery/ui/core.min.js?ver=1.13.3	C:/Meus%20Sites/tentativa/programareceitasocultas.com/wp-includes/js/jquery/ui/core.minb37e.js	(from https://programareceitasocultas.com.br/receitas/)
22:18:25	44252/44252	---MCZ	200	added ('OK')	application/x-javascript	date:Fri,%2024%20Jan%202025%2004:52:48%20GMT	https://programareceitasocultas.com/wp-content/plugins/elementor/assets/js/frontend.min.js?ver=3.25.11	C:/Meus%20Sites/tentativa/programareceitasocultas.com/wp-content/plugins/elementor/assets/js/frontend.min1ffb.js	(from https://programareceitasocultas.com.br/receitas/)
22:18:26	12332/12332	---MCZ	200	added ('OK')	application/javascript	etag:W/%22678fdc60-302c%22	https://programareceitasocultas.com/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	C:/Meus%20Sites/tentativa/programareceitasocultas.com/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	(from https://programareceitasocultas.com.br/receitas/)
22:18:28	96950/96950	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2029%20Jan%202025%2002:18:47%20GMT	https://programareceitasocultas.com.br/receitas/-negative.svg	C:/Meus%20Sites/tentativa/programareceitasocultas.com.br/receitas/-negative.28.delayed	(from https://programareceitasocultas.com/wp-content/plugins/elementor/assets/js/frontend.min.js?ver=3.25.11)
22:18:28	96945/96945	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2029%20Jan%202025%2002:18:47%20GMT	https://programareceitasocultas.com.br/receitas/Trident/	C:/Meus%20Sites/tentativa/programareceitasocultas.com.br/receitas/Trident/index.html	(from https://programareceitasocultas.com/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.min.js?ver=3.25.11)
22:18:29	96941/96941	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2029%20Jan%202025%2002:18:48%20GMT	https://programareceitasocultas.com.br/receitas/OPR/	C:/Meus%20Sites/tentativa/programareceitasocultas.com.br/receitas/OPR/index.html	(from https://programareceitasocultas.com/wp-content/plugins/elementor/assets/js/frontend.min.js?ver=3.25.11)
